motif_id	motif_length
MA0004.1 Arnt	6
MA0006.1 Ahr::Arnt	6
MA0019.1 Ddit3::Cebpa	12
MA0025.1 NFIL3	11
MA0029.1 Mecom	14
MA0030.1 FOXF2	14
MA0031.1 FOXD1	8
MA0038.1 Gfi1	10
MA0040.1 Foxq1	11
MA0041.1 Foxd3	12
MA0051.1 IRF2	18
MA0056.1 MZF1	6
MA0057.1 MZF1(var.2)	10
MA0059.1 MAX::MYC	11
MA0063.1 Nkx2-5	7
MA0066.1 PPARG	20
MA0067.1 Pax2	8
MA0069.1 Pax6	14
MA0070.1 PBX1	12
MA0071.1 RORA	10
MA0072.1 RORA(var.2)	14
MA0073.1 RREB1	20
MA0074.1 RXRA::VDR	15
MA0077.1 SOX9	9
MA0078.1 Sox17	9
MA0081.1 SPIB	7
MA0084.1 SRY	9
MA0087.1 Sox5	7
MA0089.1 MAFG::NFE2L1	6
MA0091.1 TAL1::TCF3	12
MA0092.1 Hand1::Tcf3	10
MA0101.1 REL	10
MA0107.1 RELA	10
MA0108.2 TBP	15
MA0109.1 HLTF	10
MA0111.1 Spz1	11
MA0115.1 NR1H2::RXRA	17
MA0116.1 Znf423	15
MA0119.1 NFIC::TLX1	14
MA0125.1 Nobox	8
MA0130.1 ZNF354C	6
MA0135.1 Lhx3	13
MA0139.1 CTCF	19
MA0142.1 Pou5f1::Sox2	15
MA0149.1 EWSR1-FLI1	18
MA0062.2 Gabpa	11
MA0138.2 REST	21
MA0002.2 RUNX1	11
MA0047.2 Foxa2	12
MA0065.2 Pparg::Rxra	15
MA0151.1 Arid3a	6
MA0152.1 NFATC2	7
MA0155.1 INSM1	12
MA0158.1 HOXA5	8
MA0159.1 RARA::RXRA	17
MA0160.1 NR4A2	8
MA0163.1 PLAG1	14
MA0164.1 Nr2e3	7
MA0259.1 ARNT::HIF1A	8
MA0146.2 Zfx	14
MA0519.1 Stat5a::Stat5b	11
MA0518.1 Stat4	14
MA0517.1 STAT1::STAT2	15
MA0516.1 SP2	15
MA0515.1 Sox6	10
MA0514.1 Sox3	10
MA0513.1 SMAD2::SMAD3::SMAD4	13
MA0509.1 Rfx1	14
MA0507.1 POU2F2	13
MA0506.1 NRF1	11
MA0505.1 Nr5a2	15
MA0504.1 NR2C2	15
MA0503.1 Nkx2-5(var.2)	11
MA0502.1 NFYB	15
MA0501.1 MAF::NFE2	15
MA0500.1 Myog	11
MA0499.1 Myod1	13
MA0497.1 MEF2C	15
MA0494.1 Nr1h3::Rxra	19
MA0493.1 Klf1	11
MA0492.1 JUND(var.2)	15
MA0491.1 JUND	11
MA0490.1 JUNB	11
MA0489.1 JUN(var.2)	14
MA0488.1 JUN	13
MA0485.1 Hoxc9	13
MA0484.1 HNF4G	15
MA0483.1 Gfi1b	11
MA0482.1 Gata4	11
MA0480.1 Foxo1	11
MA0479.1 FOXH1	11
MA0478.1 FOSL2	11
MA0477.1 FOSL1	11
MA0476.1 FOS	11
MA0471.1 E2F6	11
MA0470.1 E2F4	11
MA0468.1 DUX4	11
MA0467.1 Crx	11
MA0465.1 CDX2	11
MA0463.1 Bcl6	14
MA0462.1 BATF::JUN	11
MA0520.1 Stat6	15
MA0521.1 Tcf12	11
MA0523.1 TCF7L2	14
MA0527.1 ZBTB33	15
MA0528.1 ZNF263	21
MA0102.3 CEBPA	11
MA0076.2 ELK4	11
MA0258.2 ESR2	15
MA0148.3 FOXA1	15
MA0035.3 Gata1	11
MA0050.2 IRF1	21
MA0150.2 Nfe2l2	15
MA0143.3 Sox2	8
MA0079.3 SP1	11
MA0137.3 STAT1	11
MA0144.2 STAT3	11
MA0140.2 GATA1::TAL1	18
MA0093.2 USF1	11
MA0095.2 YY1	12
MA0591.1 Bach1::Mafk	15
MA0593.1 FOXP2	11
MA0594.1 Hoxa9	11
MA0595.1 SREBF1	10
MA0596.1 SREBF2	10
MA0597.1 THAP1	9
MA0599.1 KLF5	10
MA0601.1 Arid3b	11
MA0602.1 Arid5a	14
MA0603.1 Arntl	10
MA0604.1 Atf1	8
MA0605.1 Atf3	8
MA0606.1 NFAT5	10
MA0607.1 Bhlha15	8
MA0608.1 Creb3l2	9
MA0609.1 Crem	10
MA0610.1 DMRT3	11
MA0611.1 Dux	8
MA0612.1 EMX1	10
MA0613.1 FOXG1	8
MA0614.1 Foxj2	8
MA0615.1 Gmeb1	17
MA1099.1 Hes1	10
MA0616.1 Hes2	13
MA0617.1 Id2	8
MA0618.1 LBX1	8
MA0619.1 LIN54	9
MA0621.1 mix-a	11
MA0622.1 Mlxip	8
MA0623.1 Neurog1	10
MA0624.1 NFATC1	10
MA0625.1 NFATC3	10
MA0626.1 Npas2	10
MA0627.1 Pou2f3	16
MA0628.1 POU6F1	10
MA0629.1 Rhox11	17
MA0630.1 SHOX	8
MA0631.1 Six3	17
MA0632.1 Tcfl5	10
MA0633.1 Twist2	10
MA0634.1 ALX3	10
MA0007.3 Ar	17
MA0635.1 BARHL2	10
MA0636.1 BHLHE41	10
MA0637.1 CENPB	15
MA0638.1 CREB3	14
MA0639.1 DBP	12
MA0154.3 EBF1	14
MA0598.2 EHF	12
