Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	-75.0	-2.9945664004049632e-16	8.540192901700871e-17	-1.3199072776640367e-16	-4.669225523145889e-16	0.00046215831781641013	0.03503627769562087
+	-74.0	-1.093959992037874e-15	7.141489410251669e-16	3.064252836218598e-16	-2.4943452676976077e-15	0.1256893138599512	0.9057892884088191
+	-73.0	-8.615827235686213e-13	7.781634130415078e-13	6.643294819667346e-13	-2.3874949291039774e-12	0.26831404979867535	0.9490117611725694
+	-72.0	-3.4814204752549316e-10	3.139302185003904e-10	2.674483851110192e-10	-9.637324801620056e-10	0.2675460423667108	0.9490117611725694
+	-71.0	-5.194185948476267e-08	4.6590810249396155e-08	3.941875299566909e-08	-1.4330247196519442e-07	0.2650211658282343	0.9490117611725694
+	-70.0	-2.876224588264616e-06	2.543996281810744e-06	2.1123355421568752e-06	-7.864784718686106e-06	0.2583350267318338	0.9490117611725694
+	-69.0	-5.993698387940613e-05	5.1155475184087724e-05	4.037454793402384e-05	-0.0001602485156928361	0.24144416228493076	0.9490117611725694
+	-68.0	-0.00048459570012935227	0.00038163593647904564	0.0002637598814677857	-0.0012329512817264902	0.2042794879076771	0.9291077039261367
+	-67.0	-0.0015913827017463207	0.0011121667934357946	0.0005894816980096149	-0.0037722471015022565	0.15258837890462526	0.9057892884088191
+	-66.0	-0.0021214359814492783	0.0016016079577640847	0.0010191808739263312	-0.005262052836824888	0.18543628980841212	0.9291077039261367
+	-65.0	-0.0009629395853027547	0.0016732881285039549	0.002318235982540864	-0.004244115153146374	0.5650203119289798	0.9875799254970055
+	-64.0	-0.00022226383604699	0.001822828454752443	0.0033521475807430966	-0.003796675252837076	0.9029615075542483	0.9890948859717803
+	-63.0	0.00025200032403973715	0.001997923711683485	0.004169758633275119	-0.003665757985195644	0.8996383050689982	0.9890948859717803
+	-62.0	0.00037277605127676475	0.0016548271241582711	0.0036177511612404427	-0.0028721990586869127	0.8217908998655554	0.9890948859717803
+	-61.0	-0.0010099795140889056	0.0014449772945981062	0.001823497945267175	-0.0038434569734449864	0.48464293660223645	0.9875799254970055
+	-60.0	-0.0017069021304373909	0.0015093131760263018	0.0012527325152883893	-0.004666536776163171	0.2582002952092847	0.9490117611725694
+	-59.0	-0.0014344676827950005	0.0014886740928744993	0.001484695477938572	-0.004353630843528573	0.33534614122242423	0.9515705690033177
+	-58.0	-0.0021115194348599086	0.0016756889331208758	0.0011743639064496283	-0.0053974027761694455	0.20775457204775477	0.9291077039261367
+	-57.0	-0.0030546966988251505	0.001714309372761757	0.0003069180367436266	-0.006416311434393928	0.07489004889916763	0.9057892884088191
+	-56.0	-0.001824212393995815	0.001586145758008027	0.0012860844040026738	-0.004934509191994303	0.25021645802574116	0.9490117611725694
+	-55.0	0.00016791253852261353	0.0015057857774033493	0.003120630255847052	-0.0027848051788018253	0.9112196560579262	0.9890948859717803
