Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	-75.0	-4.2760933682828295e-16	8.739619481309334e-17	-2.5599490818318293e-16	-5.99223765473383e-16	1.256411095282051e-06	9.485903769379486e-05
+	-74.0	-4.553649124439119e-16	9.001409282212172e-17	-2.786098816017555e-16	-6.321199432860683e-16	5.502471200378414e-07	8.308731512571404e-05
+	-73.0	-2.785011804506965e-14	3.153648339350521e-14	3.407609728531749e-14	-8.977633337545679e-14	0.37750597245813144	0.9177699918509767
+	-72.0	-1.8161018695839193e-11	2.0975821286477264e-11	2.3027886532117273e-11	-5.934992392379566e-11	0.3869167897241578	0.9177699918509767
+	-71.0	-4.3990429745080495e-09	5.132389587344574e-09	5.679108694450461e-09	-1.447719464346656e-08	0.3916992420335571	0.9177699918509767
+	-70.0	-3.850649714131141e-07	4.6197825139158626e-07	5.220927581491773e-07	-1.2922227009754053e-06	0.40486295423468543	0.9177699918509767
+	-69.0	-1.1771705412878981e-05	1.5303794502212205e-05	1.827939641387585e-05	-4.1822807239633815e-05	0.44205426223377486	0.9177699918509767
+	-68.0	-0.00011127113216765922	0.00018727543027914078	0.00025646988945637433	-0.0004790121537916928	0.5526143535624494	0.9177699918509767
+	-67.0	-0.00011746553365884777	0.0008713393435001965	0.0015935289084971181	-0.0018284599758148137	0.8928037745918002	0.9769084779953755
+	-66.0	0.0013902799250646329	0.0018310500204897888	0.004985798056706177	-0.002205238206576911	0.44796152787749743	0.9177699918509767
+	-65.0	0.00289915803419027	0.0027621215214719747	0.008322962900860868	-0.002524646832480327	0.29428807806452645	0.9177699918509767
+	-64.0	0.0008783149322423465	0.0035039065498443387	0.0077587165545710155	-0.0060020866900863225	0.8021508945115088	0.9433895268823268
+	-63.0	-0.0012470085124926507	0.0032232926047600385	0.005082369098338953	-0.0075763861233242545	0.6989766069267045	0.9231148819066987
+	-62.0	-0.0024328668753848927	0.002753112188616192	0.0029732469291768194	-0.007838980679946605	0.3771978634792871	0.9177699918509767
+	-61.0	-0.0032142683053923192	0.002851452031478525	0.0023849492834011957	-0.008813485894185834	0.26005926412693725	0.9177699918509767
+	-60.0	-0.003202829253740877	0.003131133474157004	0.002945581250036548	-0.009351239757518302	0.30673851459624396	0.9177699918509767
+	-59.0	-0.0024382634338358635	0.002350675452770583	0.0021776105824187686	-0.0070541374500904955	0.3000018407427187	0.9177699918509767
+	-58.0	-0.002498454224889074	0.0022201875155239666	0.0018611888096443626	-0.006858097259422511	0.2608644712106482	0.9177699918509767
+	-57.0	-0.0038171619785692503	0.0030462551149964866	0.0021645782125839516	-0.009798902169722453	0.21063396005299875	0.9177699918509767
+	-56.0	-0.003591618521761414	0.0035235806452897844	0.003327415888369974	-0.010510652931892801	0.30843713967839803	0.9177699918509767
+	-55.0	-0.0010423824157076477	0.003364767108792	0.005564799809263251	-0.007649564640678546	0.7568178731246885	0.9402297164423773
+	-54.0	0.00012317820180941363	0.003004890008594077	0.0060236923268132255	-0.005777335923194398	0.9673144553732429	0.9887707050417602
+	-53.0	0.0018516644054788504	0.003782511505825389	0.009279145113351619	-0.005575816302393919	0.6246302855390635	0.9177699918509767
+	-52.0	0.004421829654866555	0.003541003933617974	0.011375077083973836	-0.0025314177742407256	0.2122080633091457	0.9177699918509767
+	-51.0	0.0019566671256813868	0.003536298810923746	0.008900675400331176	-0.004987341148968403	0.5802427518120586	0.9177699918509767
+	-50.0	-0.002603354142976401	0.00343189488925079	0.004135642696055052	-0.009342350982007855	0.44838229141000807	0.9177699918509767
+	-49.0	-0.004449571568660421	0.0029567319166103143	0.001356377530278968	-0.01025552066759981	0.13283903059698832	0.9177699918509767
+	-48.0	-0.0027791534181554793	0.003041276007085074	0.0031928096109461396	-0.0087511164472571	0.36115623243187667	0.9177699918509767
+	-47.0	0.0011872958728039512	0.0030477816320132614	0.007172033589721417	-0.004797441844113515	0.6969896279094352	0.9231148819066987
+	-46.0	0.0013621338923637946	0.003067180035212932	0.007384963037504861	-0.004660695252777272	0.6571189589502883	0.9177699918509767
+	-45.0	-0.0013356255860035244	0.00367357116046326	0.005877935795453437	-0.008549186967460487	0.7162927510392414	0.9231148819066987
+	-44.0	-4.1478661087936304e-05	0.0034420887254616415	0.006717535175030957	-0.0068004924972068295	0.990389092619183	0.990389092619183
+	-43.0	0.0033901865740289206	0.0027772100271114724	0.008843619793283615	-0.0020632466452257733	0.22263800042060597	0.9177699918509767
+	-42.0	0.0061284312441839016	0.003351590239856819	0.012709738877721172	-0.0004528763893533695	0.06793260798819119	0.6711020693748041
+	-41.0	0.003846833423537403	0.0037141576785366943	0.011140092006054004	-0.0034464251589791974	0.300718976407431	0.9177699918509767
+	-40.0	-0.0003964178058406343	0.0038051510695821097	0.007075518794044288	-0.007868354405725557	0.9170593812397521	0.9855940680939684
+	-39.0	0.0005367175988721931	0.0034773037323508685	0.007364880936293202	-0.0062914457385488155	0.8773828682146726	0.9716499261796633
+	-38.0	0.002181879576401833	0.0034693943754707983	0.008994511805576925	-0.004630752652773258	0.5296407453724058	0.9177699918509767
+	-37.0	-0.0005749955040836629	0.003472486240471059	0.006243708026554865	-0.0073936990347221905	0.8685344013287228	0.9678870450231524
+	-36.0	-0.0036651864454898967	0.003631134158553777	0.003465044055810532	-0.010795416946790325	0.3131707823293017	0.9177699918509767
+	-35.0	-0.0019005282909699836	0.003310204975648135	0.004599513693797465	-0.008400570275737432	0.5660711375476197	0.9177699918509767
+	-34.0	0.004197699420888985	0.004123635758963825	0.012295024438626016	-0.003899625596848046	0.30907709639338177	0.9177699918509767
+	-33.0	0.007808915826573041	0.004649928142419709	0.01693968820297606	-0.001321856549829979	0.0935641733676685	0.8534042758640176
+	-32.0	0.003943999100125196	0.0035100192317179084	0.010836403812628046	-0.002948405612377655	0.26158238581340676	0.9177699918509767
+	-31.0	0.00020978721300557012	0.0034021002220195867	0.006890278131905271	-0.006470703705894131	0.9508494281310933	0.9887707050417602
+	-30.0	-0.004810437319129679	0.004017933886185153	0.0030793275577748686	-0.012700202196034228	0.23165088846987958	0.9177699918509767
+	-29.0	-0.009329295106185798	0.0037474063654631363	-0.0019707481616039607	-0.016687842050767634	0.013041137075064916	0.28131595690497174
+	-28.0	-0.007107288026221439	0.003806570543690406	0.0003674359059791842	-0.014582011958422063	0.062338164411556346	0.6491767466306901
