Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	-75.0	4.484260185400046e-16	5.803746394349263e-16	1.5862481234147138e-15	-6.893960863347046e-16	0.43977093394262456	0.8634785815131442
+	-74.0	4.724285199153577e-13	6.346617012116213e-13	1.7166801871816334e-12	-7.71823147350918e-13	0.45668673576720187	0.8634785815131442
+	-73.0	1.900550420166902e-10	2.560396238002847e-10	6.920196763904727e-10	-3.1190959235709225e-10	0.45795217409402955	0.8634785815131442
+	-72.0	2.7992799790828304e-08	3.799967425548684e-08	1.0249100561875405e-07	-4.6505406037097445e-08	0.461368519031747	0.8634785815131442
+	-71.0	1.4964462058180902e-06	2.0749154338810263e-06	5.564309420368906e-06	-2.5714170087327254e-06	0.4708191681820213	0.8634785815131442
+	-70.0	2.8289767773029967e-05	4.1716551800227966e-05	0.00011007489681254976	-5.349536126648983e-05	0.4977165028530669	0.8634785815131442
+	-69.0	0.0001721704170321893	0.00031067990859367654	0.00078125710607587	-0.00043691627201149143	0.5794882324506773	0.8859233040200634
+	-68.0	0.00016777858220437536	0.000894443529382429	0.001921331460194299	-0.0015857742957855483	0.851215431400331	0.9614340121280701
+	-67.0	-0.0008617786591012281	0.001248955020765687	0.0015867925465687396	-0.003310349864771196	0.4902302340934013	0.8634785815131442
+	-66.0	-0.002009785841585756	0.0013784476787091107	0.0006926551899099267	-0.004712226873081439	0.1449091123740469	0.782477703850194
+	-65.0	-0.001957064788710815	0.0014165750504661534	0.0008201247990418698	-0.0047342543764634995	0.16718007186571415	0.782477703850194
+	-64.0	-0.001479512097068144	0.0013481489390171858	0.0011635283792880472	-0.004122552573424336	0.2725084823025357	0.7913227082246711
+	-63.0	-0.0006425063618206144	0.0012394987464160144	0.001787525856695653	-0.003072538580336882	0.6042329432247344	0.8859233040200634
+	-62.0	0.00024666199332507455	0.0012607671752592746	0.002718390879527198	-0.0022250668928770487	0.8448974435996417	0.9614340121280701
+	-61.0	0.0009499527670452645	0.0014125190482985079	0.0037191905791513426	-0.0018192850450608135	0.5012850855590003	0.8634785815131442
+	-60.0	0.0008566714124544923	0.0014281086816032723	0.003656472636839099	-0.0019431298119301143	0.548627144614954	0.8689721035254914
+	-59.0	-0.0003451571578112281	0.0013094347917842618	0.002221984391369435	-0.002912298706991891	0.7921061320501074	0.941795479839104
+	-58.0	-0.0006367682096143999	0.0012926970751120357	0.0018975591145454535	-0.003171095533774253	0.622327346317394	0.8859233040200634
+	-57.0	-0.00011321288358609807	0.0013044314652406444	0.0024441196643866948	-0.002670545431558891	0.9308415537111261	0.9765920059548667
+	-56.0	-0.00021258016955246796	0.0013103039088375819	0.0023562652800535374	-0.0027814256191584733	0.8711263347384743	0.9666815943882942
+	-55.0	-0.00071881960585575	0.001336730795413647	0.0019018356467053604	-0.0033394748584168604	0.5907802910334666	0.8859233040200634
+	-54.0	-0.000622456585718861	0.0013534055534640181	0.0020308894617426304	-0.0032758026331803523	0.6455969575037417	0.8859233040200634
+	-53.0	0.0009363269739290124	0.0014345684321879092	0.003748792512892101	-0.0018761385650340762	0.513990454990755	0.8634785815131442
+	-52.0	0.0023866496676096492	0.0014151140153057316	0.005160974901911008	-0.00038767556669171014	0.09176131369373824	0.6724841713329481
+	-51.0	0.0018304304649811622	0.0012639317437164264	0.0043083634746895125	-0.0006475025447271886	0.14763040368317948	0.782477703850194
+	-50.0	8.243328843196129e-05	0.0011721440863567336	0.002380416971615278	-0.0022155503947513555	0.9439366053514874	0.9765920059548667
+	-49.0	-0.0015629238554969232	0.0013528242640103575	0.0010892825763701487	-0.004215130287363995	0.24802766139546978	0.7899102824479365
+	-48.0	-0.0026791582989056347	0.0015077940028585498	0.00027686567161166716	-0.005635182269422936	0.07565728235517857	0.6528142648932551
