Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
-75.0	1.4409660124186166e-14	3.616247077026137e-15	2.149772926596642e-14	7.321590982405913e-15	6.776361427853545e-05	0.00011244292039625114
-74.0	9.686093253017574e-12	2.405298235614167e-12	1.4400627364623587e-11	4.97155914141156e-12	5.666981032915995e-05	9.614765572700171e-05
-73.0	2.3754703995576478e-09	5.88557520142419e-10	3.5290797375885175e-09	1.2218610615267783e-09	5.451703831368837e-05	9.354628165189709e-05
-72.0	2.1514082434067382e-07	5.298264153544734e-08	3.1899009639490593e-07	1.1129155228644173e-07	4.910295419935544e-05	8.522466763336405e-05
-71.0	7.24316593452811e-06	1.7553147779531762e-06	1.0683692050888613e-05	3.802639818167605e-06	3.6968838213759615e-05	6.567405376797297e-05
-70.0	9.22567510083596e-05	2.1459614022617418e-05	0.00013431892892605776	5.019457309066145e-05	1.7217460629158692e-05	3.13233319879875e-05
-69.0	0.0004653280557063027	9.872852837626301e-05	0.0006588421106067356	0.0002718140008058698	2.4520591296567043e-06	4.829184399825958e-06
-68.0	0.001037048269911258	0.00019252437499701374	0.001414408016740028	0.0006596885230824882	7.248104027874953e-08	1.8550232342527422e-07
-67.0	0.00126495495019656	0.00022886979317572267	0.0017135539767399953	0.0008163559236531249	3.291850541328814e-08	9.037626031648198e-08
-66.0	0.0011087765046523667	0.00022902303496756635	0.0015576758946369226	0.0006598771146678107	1.2976851571735746e-06	2.6842528593590374e-06
-65.0	0.0008620221131251861	0.0002174777477958758	0.0012882920223271546	0.00043575220392321764	7.400125917228381e-05	0.00012145858842407452
-64.0	0.0007034199359570701	0.00021648195849823898	0.0011277380362140319	0.00027910183570010853	0.0011583792339245546	0.0016347220964729697
-63.0	0.0007419332861030713	0.0002285610142192358	0.0011899270866908439	0.0002939394855152988	0.0011715459277524874	0.0016379947693576445
-62.0	0.001128961249048149	0.00022100616131312084	0.0015621470681529308	0.0006957754299433672	3.275768540375883e-07	7.494561357526642e-07
-61.0	0.0016677908255844063	0.0002224216049799501	0.002103751002293379	0.0012318306488754336	6.685855128471707e-14	1.6826068739987129e-12
-60.0	0.0018322496767991328	0.0002350257328868305	0.0022929147279740613	0.0013715846256242043	6.64933068097058e-15	2.738802906590006e-13
-59.0	0.0015482489325484947	0.00023536414337864615	0.0020095772893309223	0.001086920575766067	4.862389186403094e-11	2.6222170255245254e-10
-58.0	0.0011209126701591844	0.00023731572987655092	0.001586066257833935	0.0006557590824844337	2.333550107327611e-06	4.7219046390304255e-06
-57.0	0.0007107261279242852	0.00023870369007063214	0.0011786002038876228	0.00024285205196094748	0.0029095396730419256	0.003922682952047596
-56.0	0.0005771036959968418	0.00023881355674922844	0.00104519311748212	0.00010901427451156354	0.01567595323910397	0.018936551512837595
-55.0	0.0007053083815996071	0.00023805957670756426	0.0011719199553181247	0.0002386968078810896	0.003052120446883086	0.004078497234330495
-54.0	0.0008428721407657783	0.00023850463696078574	0.001310356060256003	0.00037538822127555364	0.00041010659686774233	0.0006012242342430009
-53.0	0.0010995554851610655	0.0002496647376485119	0.0015889138959730735	0.0006101970743490575	1.0666626987790973e-05	1.9642203355566303e-05
-52.0	0.0012897567343815822	0.0002563441978723122	0.0017922073025842854	0.0007873061661788791	4.905356394838147e-07	1.1055355457023287e-06
-51.0	0.0013721549772657698	0.0002446388156208335	0.0018516622683742324	0.0008926476861573073	2.0584152001399364e-08	5.8645414192666114e-08
-50.0	0.0015581826966016628	0.0002625946620287773	0.002072884563226618	0.0010434808299767079	3.0004688890023903e-09	9.849365266073063e-09
-49.0	0.0017510343459454542	0.0002697426374183992	0.002279746688820016	0.0012223220030708926	8.663484068936734e-11	4.0880815450295214e-10
-48.0	0.0018178863991790567	0.00026375632777975036	0.002334865202912332	0.0013009075954457812	5.624948337212592e-12	4.044605709138579e-11
-47.0	0.0016973730791662583	0.0002550764674665565	0.002197338816941798	0.0011974073413907182	2.906050951800535e-11	1.6877449758533878e-10
-46.0	0.0015962320741871726	0.00026523746614723814	0.0021161140012230543	0.001076350147151291	1.789910663927399e-09	6.435155006024697e-09
-45.0	0.0016606876473653509	0.0002791769459122328	0.0022078918215459107	0.001113483473184791	2.743133219044311e-09	9.413934456265705e-09
-44.0	0.001689949119533835	0.0002706693146394216	0.00222047780738561	0.0011594204316820599	4.347480778046725e-10	1.7742421553650146e-09
-43.0	0.0016023408737112388	0.00027988076868395057	0.002150924584290511	0.0010537571631319665	1.0460734577842286e-08	3.037636387027279e-08
-42.0	0.0013527998736430774	0.0002870762756878767	0.0019154872253916736	0.0007901125218944811	2.4625642303748265e-06	4.829184399825958e-06
-41.0	0.001273963388190763	0.00028655217838475985	0.0018356234766350589	0.0007123032997464673	8.79413572582167e-06	1.6598931182488403e-05
-40.0	0.0015963757562536412	0.00028616694866387177	0.002157280770490074	0.0010354707420172087	2.4523087100514887e-08	6.857381763292126e-08
-39.0	0.0017114988339956086	0.00028123916438461835	0.0022627450846179546	0.0011602525833732625	1.1782896592829147e-09	4.448043463793003e-09
-38.0	0.0014070319868105436	0.0002811929698471465	0.001958187693266908	0.0008558762803541792	5.660698875102388e-07	1.2570081325595007e-06
-37.0	0.0010090577781595837	0.00028887955112053525	0.0015752796618901232	0.0004428358944290442	0.00047847111811982654	0.0006947032580393636
-36.0	0.0009535702668022315	0.00031529262093316876	0.001571563409821994	0.00033557712378246896	0.002493903496409936	0.0033926074590801833
-35.0	0.0010435605983742165	0.0003131146113632178	0.001657284707200672	0.0004298364895477612	0.000860937387213889	0.0012264296742386532
-34.0	0.0008983676417259241	0.0003055319448271413	0.0014972292526251158	0.0002995060308267323	0.00328163465515045	0.004346726604629105
-33.0	0.000763889912631215	0.00030539729923993893	0.0013624876098067597	0.00016529221545567017	0.012380435152803062	0.015099207702849282
-32.0	0.001123610374912757	0.00031724423476591407	0.0017454288024028298	0.0005017919474226842	0.00039817996071196216	0.0005894624908579048
-31.0	0.001319880948346542	0.000329553238131639	0.0019658257878500365	0.0006739361088430475	6.218681706600046e-05	0.00010433565974406742
-30.0	0.0010241558908813304	0.00032805789888068536	0.0016671697724675652	0.00038114200929509573	0.001799149333952957	0.002492399536026573
-29.0	0.0008731579615347811	0.0003365855205048927	0.0015328865117816067	0.00021342941128795552	0.009487854690199209	0.011743164411640004
-28.0	0.0008297618474687473	0.0003470702665888475	0.0015100411520180684	0.00014948254291942637	0.0168211302624593	0.02015865610818535
-27.0	0.0010336210515668684	0.0003566567888176446	0.0017326905358078953	0.00033455156732584146	0.0037578847736842243	0.004849919665182204
-26.0	0.0010125070161600893	0.00036812480492817126	0.0017340545250988393	0.0002909595072213393	0.005955867691884805	0.007494466845621713
-25.0	0.00048533347676792056	0.0003901430634816491	0.0012500381416433134	-0.0002793711881074722	0.21351587211947692	0.22082805952082887
-24.0	0.00032845623143119596	0.0004090816018668007	0.0011302816092056103	-0.0004733691463432185	0.42203391612457053	0.4276988009047661
-23.0	0.0006666907652829051	0.0004268188938461948	0.001503282338303381	-0.0001699008077375708	0.11830127855935653	0.1266914401593109
-22.0	0.0008049362374842426	0.00042164029827029364	0.0016313774411528847	-2.150496618439951e-05	0.05626630649488699	0.06293490578316989
-21.0	0.0008319346798524387	0.00042784709834488613	0.001670541597627678	-6.672237922800812e-06	0.05185071888067054	0.05886810940587408
-20.0	0.0009100276322470179	0.0004508770273143361	0.0017937746428833873	2.6280621610648533e-05	0.04356585540382613	0.04983669822710413
-19.0	0.001068676918956738	0.0004684396859255107	0.0019868478325781487	0.00015050600533532703	0.022536147605164022	0.026176602218305905
-18.0	0.0008246490831260891	0.0004944996028505978	0.0017938990544168584	-0.0001446008881646802	0.09539946403050753	0.10363538898278156
-17.0	-8.784564538464915e-06	0.0005233318763507691	0.0010169784557035931	-0.001034547584780523	0.9866076058848747	0.9866076058848747
-16.0	-0.0007964858011903477	0.0005273952379049929	0.0002372416603719298	-0.001830213262752625	0.1309989412527057	0.1373669453413789
-15.0	-0.0015278722623548045	0.0005394565751595375	-0.0004705038297577583	-0.0025852406949518508	0.00462608980726922	0.00587008034367775
-14.0	-0.0023454654521776	0.0005552418237284017	-0.0012571569508039733	-0.003433773953551227	2.406442733869065e-05	4.325867295407486e-05
-13.0	-0.0028309270055237976	0.0005817467412278116	-0.0016906672176834577	-0.003971186793364137	1.1445036089120683e-06	2.434085140080596e-06
-12.0	-0.0028583404667374417	0.000607620618952679	-0.0016673662696287377	-0.004049314663846146	2.563314671741913e-06	4.962314300423447e-06
-11.0	-0.003356351797727668	0.0006253995943300696	-0.002130529703320811	-0.004582173892134524	8.091440363981413e-08	2.0363458249353225e-07
-10.0	-0.003994433708747358	0.0006474633849990468	-0.0027253652126261346	-0.005263502204868582	6.96563587789782e-10	2.696951327083515e-09
-9.0	-0.003986204226125785	0.0006804103034345328	-0.0026525577211171363	-0.0053198507311344335	4.730358092960009e-09	1.4577225959937987e-08
-8.0	-0.0036633865057308927	0.0006909184112691965	-0.0023091434559356443	-0.005017629555526142	1.154214413567595e-07	2.8110705878823687e-07
-7.0	-0.004144562503615519	0.0007019401620773101	-0.0027687161368656044	-0.0055204088703654335	3.5857943960825426e-09	1.128031153767633e-08
-6.0	-0.004854838400553669	0.0007236032661727709	-0.0034365310026895626	-0.0062731457984177745	1.9994552768464057e-11	1.207670987215229e-10
-5.0	-0.0052360454018704925	0.0007368017722727805	-0.0037918681113213964	-0.006680222692419588	1.2237156441325204e-12	1.1548816391500661e-11
-4.0	-0.005511393937885077	0.0007402303667895235	-0.004060496388881243	-0.00696229148688891	9.979819339350476e-14	1.855932887438593e-12
-3.0	-0.00533754326580492	0.0007495908524465869	-0.0038682985828457184	-0.006806787948764121	1.104588509440235e-12	1.1119524328365034e-11
-2.0	-0.0053326434557285874	0.0007570765952879881	-0.003848726251310738	-0.006816560660146437	1.921773801865363e-12	1.7069873181274692e-11
-1.0	-0.005800591973418768	0.0007451071444475504	-0.004340135636950222	-0.007261048309887315	7.25510703732452e-15	2.738802906590006e-13
0.0	-0.005712573768380567	0.000741333790232424	-0.004259513440813945	-0.007165634095947189	1.3500880671934861e-14	4.077265962924328e-13
1.0	-0.00554444599725389	0.000746035441920563	-0.004082170140013476	-0.007006721854494304	1.1061851646984991e-13	1.855932887438593e-12
2.0	-0.005567330070283985	0.0007470136767912702	-0.004103136811866942	-0.007031523328701028	9.445997869092905e-14	1.855932887438593e-12
3.0	-0.005360641472850181	0.0007502866279305627	-0.00389003302667665	-0.006831249919023712	9.268966806112186e-13	9.997242769449571e-12
4.0	-0.005354565022435415	0.000735007975700871	-0.003913903684711765	-0.006795226360159065	3.3142359090292013e-13	4.1704135188617445e-12
5.0	-0.005289466093716561	0.0007227909409022093	-0.003872750903895964	-0.006706181283537158	2.5933026014070703e-13	3.5598972073860696e-12
6.0	-0.004887583053531288	0.0007168477925552369	-0.0034825168040363724	-0.006292649303026204	9.438636754915262e-12	6.478337045419112e-11
7.0	-0.004314556256330261	0.0006974181452212296	-0.002947573323812985	-0.005681539188847536	6.251411370834887e-10	2.484113465779126e-09
8.0	-0.0038116067699738906	0.0006946117189084484	-0.002450124607543006	-0.005173088932404775	4.120065693809326e-08	1.1109462852950146e-07
9.0	-0.002888608824892628	0.0006510851164757279	-0.0016124415098652618	-0.004164776139919994	9.179152750447087e-06	1.711175389280877e-05
10.0	-0.0016667915731303883	0.0006238635427174321	-0.00044398023540132784	-0.002889602910859449	0.007551315438863675	0.009423542407176983
11.0	-0.0010444071818857422	0.0006048844182117418	0.0001412038916242548	-0.002230018255395739	0.0842482256204583	0.0921846526716609
12.0	-0.0009536080089733643	0.0005992902937788879	0.00022103823278614323	-0.0021282542507328715	0.1115711647224446	0.12033747052206525
13.0	-0.0010853296911299607	0.0005848315303563833	6.0976475225286986e-05	-0.0022316358574852083	0.06349440122701751	0.07049746018587973
14.0	-0.0010634080100467228	0.0005516115539162729	1.778493675234005e-05	-0.0021446009568457857	0.05388917614116375	0.06072586266653527
15.0	-0.0008014653571832067	0.0005150177721973104	0.00020800150191818603	-0.0018109322162845995	0.11967608659605025	0.1272611906760816
16.0	-0.0007765811610280754	0.0005025882955065452	0.00020852315085136694	-0.0017616854729075176	0.12231978445241466	0.12916284931688543
17.0	-0.00047879821747385116	0.00048275380415469725	0.0004674292579783757	-0.001425025692926078	0.32130200444544904	0.32781488291393784
18.0	0.0001243075214059357	0.00046016482637933204	0.0010262591957573162	-0.0007776441529454449	0.7870572060204715	0.792304254060608
19.0	0.0004757331405714868	0.00044609452306743145	0.0013501061454911907	-0.0003986398643482171	0.28623534632186853	0.29402406322858604
20.0	0.0005602535725698643	0.0004281489624029805	0.0013994521626699247	-0.0002789450175301962	0.19069987073979	0.19859089987385029
21.0	0.0007739961744778541	0.0004181314555841225	0.00159355982828957	-4.556747933386171e-05	0.06416975987111577	0.07072725358057286
22.0	0.0010040281389475097	0.00040148951305627774	0.0017909725505508359	0.00021708372734418355	0.012399349371876232	0.015099207702849282
23.0	0.0008805037197155638	0.0003831858997616956	0.0016315719110792327	0.0001294355283518948	0.021578830524793664	0.025258941156929015
24.0	0.0008746501172301549	0.0003694836171905836	0.0015988609826989011	0.00015043925176140853	0.017929965042031964	0.0213183048924947
25.0	0.0011375294048044254	0.0003742749371326721	0.0018711315553005881	0.0004039272543082627	0.002373914034369553	0.003258736538089114
26.0	0.0012518786095652619	0.00036090061420934115	0.001959266255469823	0.0005444909636607005	0.0005237718131297671	0.0007532337503104269
27.0	0.0012834844566015594	0.00034299581704100914	0.0019557775866736863	0.0006111913265294325	0.00018299648255624016	0.00027358880065338876
28.0	0.0009753589516380012	0.0003361025958114314	0.001634140939455707	0.00031657696382029533	0.0037116149206777704	0.0048371894028047605
29.0	0.0007487867648482201	0.00033085553750821054	0.0013972841921112953	0.00010028933758514488	0.02363322029380948	0.027241345529505585
30.0	0.0009431067728027109	0.0003263084985181139	0.0015826917208945123	0.00030352182471090955	0.0038530212685947756	0.004930561114896704
31.0	0.0016059826567824894	0.0003304429257544716	0.0022536713393506037	0.0009582939742143752	1.1806756396078124e-06	2.47613918862194e-06
32.0	0.0021470033448163254	0.0003276993263970504	0.0027893144020373524	0.0015046922875952982	5.801189159615727e-11	2.9199318770065827e-10
33.0	0.0021516532170731276	0.0003098549498504449	0.0027589881866374685	0.0015443182475087867	3.906235340214504e-12	3.2768974242910566e-11
34.0	0.0019565361222777166	0.0003026381010988895	0.0025497256195202763	0.001363346625035157	1.0327606517153252e-10	4.5866723061474734e-10
35.0	0.0017148215902168227	0.00029004549915899604	0.002283328804605446	0.0011463143758281996	3.4199918004914707e-09	1.0987633231366215e-08
36.0	0.0015898184223329958	0.0002925409986779218	0.0021632169709575448	0.001016419873708447	5.547691550019254e-08	1.4443128000912195e-07
37.0	0.0014526735039893668	0.00029187423843458335	0.0020247651610755036	0.0008805818469032299	6.500345369550867e-07	1.4225393489886678e-06
38.0	0.0010999591241077575	0.00029137143219993715	0.001671065249707749	0.000528852998507766	0.00016031984220018144	0.0002445282441639131
39.0	0.000688673373522019	0.00029512593465111023	0.0012671385573943183	0.00011020818964971963	0.0196306098746055	0.023157985086448674
40.0	0.0008099290018735814	0.0002791319540066826	0.00135704498912151	0.00026281301462565277	0.0037159865610950477	0.0048371894028047605
41.0	0.001384404693921604	0.00026328279378569987	0.0019004553415805513	0.000868354046262657	1.466758115848565e-07	3.5155631030656077e-07
42.0	0.0018329842244015082	0.00027042577136960423	0.0023630355523000745	0.001302932896502942	1.2453323079203633e-11	7.835215770665619e-11
43.0	0.0016233408967602392	0.0002673816539387998	0.002147425565200629	0.0010992562283198492	1.2881058348225803e-09	4.743999538005113e-09
44.0	0.0012240484304323611	0.0002481622147780869	0.001710461802986243	0.0007376350578784793	8.174243699038595e-07	1.7633011407926113e-06
45.0	0.0013293872386637422	0.0002593580403531846	0.0018377451255401534	0.0008210293517873312	2.9874373766434884e-07	6.940046828817951e-07
46.0	0.001562702810791776	0.00026143429551142046	0.0020751302868870897	0.0010502753346964622	2.2987751242777587e-09	8.072442878277711e-09
47.0	0.001770366433590509	0.000256194145685456	0.0022725228901762074	0.0012682099770048106	4.9580987766970436e-12	3.743364576406268e-11
48.0	0.002077843665866768	0.00025905095426158965	0.002585599644907973	0.0015700876868255634	1.096281777533874e-15	8.276927420380749e-14
49.0	0.0021285351547243045	0.0002610881584771034	0.0026402841807083533	0.001616786128740256	3.7346384165309067e-16	5.639304008961669e-14
50.0	0.0015226884413952143	0.00026255966431672657	0.0020373217103282705	0.0010080551724621582	6.738190351635597e-09	1.9950328296019118e-08
51.0	0.00101071996181189	0.0002671453887192983	0.0015343415357302649	0.0004870983878935153	0.00015506873373165048	0.00023893243666815535
52.0	0.000979746695901735	0.00025568346315117283	0.0014809021829642242	0.0004785912088392459	0.00012749291775021842	0.00020264663768718928
53.0	0.00122823979806671	0.00023868121508477	0.0016960698216601853	0.0007604097744732349	2.682629118139769e-07	6.329328075611018e-07
54.0	0.001508917432836596	0.0002307043309516207	0.001961112267498725	0.0010567225981744672	6.254667286752587e-11	3.046628259031099e-10
55.0	0.0014790645309112973	0.00022260371609647385	0.0019153816567329587	0.001042747405089636	3.1096505952821664e-11	1.739100888472619e-10
56.0	0.0011653807636629297	0.00021308742530921793	0.001583045367785541	0.0007477161595403185	4.569983422587666e-08	1.210644731246908e-07
57.0	0.0010464813271837848	0.00022160540541497458	0.0014808417019912803	0.0006121209523762891	2.3453168736906088e-06	4.7219046390304255e-06
58.0	0.0013150012156450755	0.0002462285391213863	0.0017976244636691526	0.0008323779676209983	9.349084769115641e-08	2.3142816395679702e-07
59.0	0.0015229825809165703	0.0002563669454441499	0.0020254777357745983	0.0010204874260585422	2.8780609084866313e-09	9.657493270699584e-09
60.0	0.0015234706311262503	0.00023877673868913715	0.0019914878869242746	0.001055453375328226	1.799280621553173e-10	7.546982607070254e-10
61.0	0.0014409960297558048	0.00022261910782463964	0.0018773433243217822	0.0010046487351898273	9.796997470313984e-11	4.4828685394467016e-10
62.0	0.001548131905411597	0.0002282883942965171	0.0019955913539983867	0.0011006724568248072	1.2169887443387028e-11	7.835215770665619e-11
63.0	0.001630183591516464	0.00023534944255420984	0.002091483133768848	0.00116888404926408	4.417262495071195e-12	3.510561246082897e-11
64.0	0.0014453890082051703	0.00022429699548211983	0.0018850250669166938	0.0010057529494936468	1.1849174419962388e-10	5.112072392612345e-10
65.0	0.0014390507512760207	0.00021951532867582334	0.0018693144457065456	0.0010087870568454957	5.654318710521603e-11	2.9199318770065827e-10
66.0	0.0015687041361442868	0.0002133832392959196	0.001986948554075575	0.0011504597182129986	2.021019875961103e-13	3.051740012701265e-12
67.0	0.0014689964288265242	0.00020412443863975513	0.0018690930217273327	0.0010688998359257157	6.354747037201628e-13	7.381283097057276e-12
68.0	0.0010476701356094038	0.00018046184831271595	0.001401386580047126	0.0006939536911716817	6.497945802197027e-09	1.962379632263502e-08
69.0	0.0004430763612330867	9.557586369677489e-05	0.0006304109973180781	0.0002557417251480953	3.573139185914456e-06	6.829671102190922e-06
70.0	8.605486128303759e-05	2.090011216556431e-05	0.000127020380769142	4.5089341796933165e-05	3.8438463362846404e-05	6.749079032313729e-05
71.0	6.7083318517860485e-06	1.710983810902669e-06	1.0061966516073986e-05	3.354697187498111e-06	8.851908988647622e-05	0.00014372454379417106
72.0	1.9875032545719261e-07	5.1650063886188375e-08	2.9998766245456845e-07	9.751298845981678e-08	0.00011938392341566238	0.00019177630250813852
73.0	2.1924766908298845e-09	5.737613000547518e-10	3.317084517408547e-09	1.0678688642512218e-09	0.0001331176227940279	0.00020938292751977302
74.0	8.936911286553566e-12	2.344830846889839e-12	1.3532925556187553e-11	4.340897016919579e-12	0.00013856692426354953	0.00021570727385356682
75.0	1.3292498205657102e-14	3.52533583456579e-15	2.0202375659038117e-14	6.382620752276087e-15	0.00016326803112203184	0.0002465347269942681
