Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	-75.0	-8.669551621737215e-17	1.6211694100486277e-17	-5.491824361931429e-17	-1.1847278881543002e-16	9.056809819219154e-08	1.9607695882059283e-06
+	-74.0	-8.669551621737215e-17	1.6211180373963034e-17	-5.4919250597836635e-17	-1.1847178183690766e-16	9.048354546829096e-08	1.9607695882059283e-06
+	-73.0	4.78824336951067e-16	1.0766596585511988e-16	6.898652513246431e-16	2.6778342257749085e-16	8.76665953231055e-06	9.805671032436245e-05
+	-72.0	6.165181619345247e-13	1.169885755274881e-13	8.458327438870647e-13	3.872035799819848e-13	1.386634668900253e-07	2.326464833377091e-06
+	-71.0	2.4890641635202503e-10	4.7196536722665314e-11	3.414184760926167e-10	1.5639435661143337e-10	1.357332356124575e-07	2.326464833377091e-06
+	-70.0	3.700260767153837e-08	7.004667025756196e-09	5.0732771351927894e-08	2.3272443991148844e-08	1.2942797768408939e-07	2.326464833377091e-06
+	-69.0	2.029450930085593e-06	3.8248886318346647e-07	2.779184597385526e-06	1.2797172627856598e-06	1.1393989219212001e-07	2.2939898294680164e-06
+	-68.0	4.1268755080803166e-05	7.690274057931015e-06	5.634280801925062e-05	2.6194702142355712e-05	8.171112566149e-08	1.9607695882059283e-06
+	-67.0	0.0003153980725856907	5.72639467621722e-05	0.0004276437166882177	0.00020315242848316375	3.7020647876396305e-08	1.36184784861952e-06
+	-66.0	0.0009414564699801523	0.00016449254105845566	0.0012638857167425236	0.0006190272232177809	1.067016632006323e-08	5.370650381098492e-07
+	-65.0	0.001238377416961754	0.00022550603259712974	0.0016804019596115295	0.0007963528743119782	4.0584869660846626e-08	1.36184784861952e-06
+	-64.0	0.0010664350656454788	0.00023455401781663778	0.0015261949721012418	0.0006066751591897157	5.499492988577675e-06	6.64338753020183e-05
+	-63.0	0.0009969416250067186	0.0002486155014042694	0.0014842640794804512	0.000509619170532986	6.106231996840795e-05	0.0005122450175127556
+	-62.0	0.0005732628570985802	0.0002635897641740397	0.0010899370392227666	5.658867497439386e-05	0.029660707066287373	0.07282547588633159
+	-61.0	1.5961307902514756e-06	0.00027637025059125674	0.000543321920618009	-0.0005401296590375061	0.9953920629008302	0.998699013275916
+	-60.0	0.0003025892887358181	0.00028133526376978354	0.0008540472247692127	-0.00024886864729757645	0.2821497259194754	0.40769960396019894
+	-59.0	0.0010301295397797542	0.00030510134297987676	0.0016281724392947575	0.00043208664026475076	0.0007366738615887351	0.0041199167814777405
+	-58.0	0.0012374206382982098	0.00032489783353638666	0.001874267531584612	0.0006005737450118075	0.000140367938575839	0.0011155557223658783
+	-57.0	0.0011799258279740045	0.0002835261141342004	0.0017356781485930014	0.0006241735073550076	3.1802660724789325e-05	0.00030981946899633474
+	-56.0	0.0011671830166582377	0.00027056578560510046	0.0016975312129410098	0.0006368348203754657	1.616035917259615e-05	0.00016829063690082885
+	-55.0	0.0010589622102502036	0.00030293275130200163	0.0016527543554347482	0.0004651700650656591	0.00047438309273757905	0.002809092039348017
+	-54.0	0.0009298129725395631	0.00032526379920954436	0.0015673772116434588	0.0002922487334356675	0.004261290307859678	0.016498841961200293
+	-53.0	0.0011102610166243395	0.00032629723980591815	0.0017498509492394321	0.0004706710840092467	0.0006694609327830206	0.0038146641830277776
+	-52.0	0.0011367066288721778	0.000348170250177376	0.0018191708353790482	0.00045424242236530743	0.001098220767505822	0.00543709298011079
+	-51.0	0.0007712288430805347	0.0003753538101418347	0.0015069767711912037	3.5480914969865775e-05	0.03993051771441813	0.09276166422887903
+	-50.0	0.0005340945465419468	0.00036222846869273916	0.0012441149010514099	-0.0001759258079675162	0.14037946416813757	0.24535962979482007
+	-49.0	0.0004726442121963798	0.00037814749239211505	0.0012138681628540602	-0.00026857973846130054	0.21136066717469218	0.3307301631438188
+	-48.0	0.0005176389947163518	0.0003942527622695006	0.00129043161105368	-0.0002551536216209764	0.18921866695196285	0.31056542075811294
+	-47.0	0.0009490179004053405	0.00036288579908038196	0.0016603267178469092	0.00023770908296377182	0.008927815090811085	0.030638638152556224
