Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	-75.0	-2.4492127076447545e-16	1.552611491035587e-16	5.99135716267203e-17	-5.497561131556712e-16	0.11513832170997756	0.7044923087259152
+	-74.0	-2.4492127076447545e-16	1.552611491035587e-16	5.99135716267203e-17	-5.497561131556712e-16	0.11513832170997756	0.7044923087259152
+	-73.0	-2.4492127076447545e-16	1.552524133278747e-16	5.989642008031496e-17	-5.497389616092659e-16	0.11511791321546348	0.7044923087259152
+	-72.0	-1.0775885392333429e-15	7.935020663281048e-16	4.803483865385905e-16	-2.6355254650052764e-15	0.17489739507879415	0.7068563520551427
+	-71.0	-9.118212912148649e-13	8.53676711673824e-13	7.642606350019218e-13	-2.5879032174316518e-12	0.2858398079441195	0.7068563520551427
+	-70.0	-3.6775623724668444e-10	3.4439769870939234e-10	3.0842334027237573e-10	-1.0439358147657446e-09	0.285968935908351	0.7068563520551427
+	-69.0	-5.457982831175764e-08	5.111315047563943e-08	4.577411895270898e-08	-1.5493377557622424e-07	0.28596925928667166	0.7068563520551427
+	-68.0	-2.979957155530683e-06	2.7906834588524766e-06	2.499182714647652e-06	-8.459097025709019e-06	0.2859693400592207	0.7068563520551427
+	-67.0	-5.9853843752200714e-05	5.6052375856770123e-05	5.01976228162568e-05	-0.00016990531032065823	0.28597091608740083	0.7068563520551427
+	-66.0	-0.00044223460088570925	0.00041417418179636237	0.0003709419224065735	-0.001255411124177992	0.2860023139565139	0.7068563520551427
+	-65.0	-0.0012005808808195008	0.0011258499561082398	0.0010098774077345646	-0.003411039169373566	0.28662180666632975	0.7068563520551427
+	-64.0	-0.00117163869238195	0.001128665107053977	0.0010443467747342093	-0.0033876241594981093	0.2995947452419148	0.7068563520551427
+	-63.0	-0.0002560747997387272	0.0007269997715155287	0.001171293618232694	-0.0016834432177101483	0.7247683162165308	0.8963510112363936
+	-62.0	0.00015356343154935735	0.0017573151966483356	0.0036038206536226293	-0.003296693790523915	0.9303903544460604	0.9674968465246898
+	-61.0	-0.0005822890308015055	0.0025213010515031382	0.004367953918534614	-0.005532531980137624	0.8174230018285522	0.9186523128869712
+	-60.0	-0.000994864331792885	0.0020729641195919944	0.0030751280283496146	-0.005064856691935385	0.6314320952823405	0.8787672478122894
+	-59.0	-0.0005492466318675306	0.001401855557320691	0.0022031123474289833	-0.0033016056111640447	0.695325780857738	0.8963510112363936
+	-58.0	-0.001245911481623166	0.0016541102056558594	0.002001716316767352	-0.004493539280013684	0.45157075541912706	0.8469332729998189
+	-57.0	-0.003363558650999273	0.0016961912681670308	-3.331022193384667e-05	-0.006693807080064699	0.047758222210904956	0.5341845595441962
+	-56.0	-0.003870989715216659	0.001735378654843076	-0.0004638020073291539	-0.007278177423104164	0.026022604953080446	0.3274511123262623
+	-55.0	-0.0020855683720068575	0.001981822267641524	0.001805478951112684	-0.0059766156951263985	0.29300369761939926	0.7068563520551427
+	-54.0	-0.0005938175942326928	0.00173997389220182	0.002822392257726853	-0.004010027446192239	0.7329958121086435	0.8963510112363936
+	-53.0	-0.00014908105508325655	0.0018020355969785547	0.0033889787902801525	-0.003687140900446666	0.9340905439013432	0.9674968465246898
+	-52.0	-0.0011648527423364905	0.002362439525139638	0.0034734864974712257	-0.005803191982144207	0.6221168073512433	0.8698114621299791
+	-51.0	-0.003718189571517728	0.002629198745160586	0.001443896305880861	-0.008880275448916317	0.15775166767753923	0.7068563520551427
+	-50.0	-0.0043199096405683104	0.002592266757515341	0.0007696651373180451	-0.009409484418454666	0.09607040452941418	0.7044923087259152
+	-49.0	-0.002057148960969438	0.0020721745367574384	0.002011293157143318	-0.006125591079082194	0.3211763628552765	0.7404218441396451
+	-48.0	-0.00011083387988116073	0.0014051217919083343	0.002647937921370399	-0.002869605681132721	0.9371518826802787	0.9674968465246898
+	-47.0	0.0007424002817702186	0.0016912762014586811	0.0040629986239077	-0.0025781980603672627	0.6608273582299198	0.8907480379219667
+	-46.0	0.0002329783883486307	0.0019876134177340844	0.0041353958728763685	-0.003669439096179107	0.9067232871483659	0.9544361976356991
