Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
-75.0	-2.454633718507182e-15	2.525819036600821e-16	-1.9595116979956775e-15	-2.9497557390186866e-15	3.2922521028941147e-22	4.9713006753701133e-20
-74.0	-3.098910017484968e-14	2.3591542247461456e-13	4.314625598722294e-13	-4.934407602219287e-13	0.89549615606801	0.9857534319662591
-73.0	-1.1486141898719993e-11	9.517457194174342e-11	1.7507918870600315e-10	-1.9805147250344314e-10	0.9039434072213647	0.9857534319662591
-72.0	-1.6876986501032643e-09	1.4125155645293562e-08	2.600104508725146e-08	-2.937644238745799e-08	0.9048965060672798	0.9857534319662591
-71.0	-8.970238993266655e-08	7.71283932558263e-07	1.4222018816822527e-06	-1.6016066615475858e-06	0.9074154108828478	0.9857534319662591
-70.0	-1.6723218304332682e-06	1.5507262911172792e-05	2.8725688612610252e-05	-3.207033227347679e-05	0.9141242093926765	0.9859482544163868
-69.0	-9.977461612586253e-06	0.00011551979383745694	0.00021646945681292172	-0.00023642438003809423	0.9311742139622465	0.9893584553904312
-68.0	-1.4114382273571272e-05	0.00033315437396990577	0.0006389492948622743	-0.0006671780594094169	0.9662080143110534	0.9893584553904312
-67.0	-1.592535038111645e-05	0.00046596356004206086	0.0008974766629445912	-0.0009293273637068241	0.9727366158788922	0.9893584553904312
-66.0	-0.0001357721795715817	0.0004996395126216095	0.0008436428989904809	-0.0011151872581336444	0.7858283369148523	0.9569361199527637
-65.0	-0.000291663649007577	0.0005057703711681171	0.0006997694048212419	-0.001283096702836396	0.5641762890791953	0.9285103328925448
-64.0	-0.00034739207663875716	0.0004943931460120552	0.0006217388461764932	-0.0013165229994540075	0.48228467096614414	0.8567645331280913
-63.0	-0.0003512680573597047	0.0004819149199857944	0.0005934025047052521	-0.0012959386194246617	0.4660825950455171	0.8503202628800747
-62.0	-9.491284577012836e-05	0.0004964076117955202	0.000878166920388637	-0.0010679926119288937	0.8483739326833762	0.9857534319662591
-61.0	0.00021429418587713776	0.0005166502435565667	0.0012270544382178739	-0.0007984660664635984	0.6783162790780113	0.948386649451664
-60.0	9.651879024346471e-05	0.0005048845022435231	0.0010862153253213456	-0.0008931777448344161	0.8483969469942142	0.9857534319662591
-59.0	-0.0004642530565920622	0.0004912859831575057	0.0004987870706107154	-0.0014272931837948396	0.3446984431820138	0.7838878296814765
-58.0	-0.0008158235505896991	0.0005170974533026875	0.00019781334172358912	-0.0018294604429029873	0.114672292048555	0.6012419441395866
-57.0	-0.00043642086552144084	0.0005360411788033133	0.0006143503404935438	-0.0014871920715364255	0.41557871789024003	0.8172018500852999
-56.0	8.794895315352141e-05	0.0005264132745249019	0.0011198471229353416	-0.0009439492166282988	0.867317324368754	0.9857534319662591
-55.0	0.0002525318063990494	0.0005253765567792348	0.001282397757017514	-0.0007773341442194152	0.6307647176386222	0.9337791408179603
-54.0	0.00030024814659335066	0.0005311020526661585	0.0013413374629830188	-0.0007408411697963175	0.5718639798609714	0.9285103328925448
-53.0	0.00026706468839119216	0.0005367902058723341	0.0013193041698069772	-0.0007851747930245929	0.6188342038238722	0.9337791408179603
-52.0	0.00022801800350889627	0.0005321570955015462	0.00127117546069889	-0.0008151394536810976	0.6683134763086078	0.948386649451664
-51.0	1.466693173719346e-05	0.0004927410102938245	0.0009805592663435655	-0.0009512254028691784	0.9762543698885713	0.9893584553904312
-50.0	-0.0007727431402900853	0.0004826709770660317	0.00017340947770906427	-0.001718895758289235	0.10942013323218358	0.6012419441395866
-49.0	-0.0014614785063769105	0.0005272109358541155	-0.000428016726204634	-0.002494940286549187	0.005581823500701299	0.28095178286863204
-48.0	-0.001368243232490727	0.0005385658014775627	-0.00031252315143208247	-0.0024239633135493717	0.01108607777304266	0.34697940952830836
-47.0	-0.0006062681424447592	0.0005421435086959759	0.0004564651157303397	-0.001669001400619858	0.26347914572637626	0.7838878296814765
-46.0	0.0004174521908119214	0.0005740958214062676	0.0015428197604712888	-0.000707915378847446	0.4671558133301953	0.8503202628800747
-45.0	0.000651766835735975	0.0005777588582635249	0.001784314849376848	-0.00048078117790489807	0.25931170994130764	0.7838878296814765
-44.0	-2.551290186457878e-05	0.0005683136663677833	0.0010885202362932432	-0.0011395460400224007	0.964194218201738	0.9893584553904312
-43.0	-0.0004335483263441589	0.0005573360004619818	0.000658965914200573	-0.0015260625668888908	0.4366531869160235	0.834615585117969
-42.0	-0.00030973512963778337	0.000518193760282632	0.0007060507912446357	-0.0013255210505202025	0.5500422628772172	0.9285103328925448
-41.0	-6.72660481133196e-05	0.0004958839368171113	0.0009047871876026709	-0.0010393192838293102	0.892102161557309	0.9857534319662591
-40.0	0.000141028366812403	0.0005066160321636706	0.001134119122062895	-0.000852062388438089	0.7807326075282381	0.9569361199527637
-39.0	0.00015116654640537786	0.000545651603419953	0.0012207765242611504	-0.0009184434314503946	0.7817572256451342	0.9569361199527637
-38.0	0.00026065108614181567	0.0005579002836502953	0.0013542714591065267	-0.0008329692868228953	0.6403686891416535	0.9346221341039024
-37.0	0.000656947491104615	0.0005631819700478953	0.0017609212551990688	-0.00044702627298983874	0.2434481821747571	0.7838878296814765
-36.0	0.0008311622003213575	0.0005948949486832637	0.0019973011228489853	-0.00033497672220627055	0.1624025949041313	0.7006511951578237
-35.0	0.000765481160082169	0.0006206988646532538	0.0019822020396979196	-0.00045123971953358157	0.21751407455951896	0.7820148871068421
-34.0	0.0009473142616140857	0.0006272553382174475	0.002176887425544324	-0.0002822589023161524	0.13101609229797467	0.631631374953349
-33.0	0.0009871800753878598	0.0005971889467331062	0.0021578157925513223	-0.00018345564177560262	0.09835872245994337	0.6012419441395866
-32.0	0.0005725125770041266	0.0006086795804774883	0.0017656727336228108	-0.0006206475796145575	0.3469462743115137	0.7838878296814765
-31.0	0.0003534885941420462	0.0006206036962540726	0.0015700229205273056	-0.0008630457322432131	0.5689720466532213	0.9285103328925448
-30.0	0.0005617281410082407	0.0006171663461756237	0.001771524424440362	-0.0006480681424238805	0.36275712286829087	0.7838878296814765
-29.0	0.0005627294504468383	0.0006233825081911067	0.001784710924711454	-0.0006592520238177773	0.36670899158602566	0.7838878296814765
-28.0	0.0002358748238138952	0.0006150988362340704	0.0014416182844394106	-0.0009698686368116202	0.7013774490139073	0.9528242837535
-27.0	0.0005701842205253094	0.000588757479924062	0.00172429221016009	-0.0005839237691094711	0.33284553690231544	0.7838878296814765
-26.0	0.0011742191285030457	0.0005762246711153243	0.0023037597618460726	4.467849516001871e-05	0.04160287239336845	0.43572967816305547
-25.0	0.001061697528722946	0.0006178424059116174	0.0022728190538197357	-0.00014942399637384398	0.08576098303034038	0.6012419441395866
-24.0	0.0009811780179357155	0.0006154567173723862	0.0021876230127160466	-0.00022526697684461562	0.11092231492928933	0.6012419441395866
-23.0	0.0014155540517166495	0.0006025117254806529	0.002596623711019402	0.00023448439241389703	0.01882538906097095	0.3650384666448389
-22.0	0.001602140982469768	0.0006443170548716834	0.0028651592646005905	0.00033912270033894555	0.012917104459560576	0.34697940952830836
-21.0	0.0015793679882250096	0.0006411668829899846	0.002836211166579893	0.00032252480987012607	0.013787261305760598	0.34697940952830836
-20.0	0.001243369310175534	0.0006164053050034474	0.002451673767639919	3.5064852711148885e-05	0.04371341614356847	0.43572967816305547
-19.0	0.0005560924698883706	0.0006178970446780715	0.001767321100268845	-0.0006551361604921037	0.36815858388117084	0.7838878296814765
-18.0	0.0003403410470450823	0.0006268367422512237	0.0015690936609771954	-0.0008884115668870308	0.5871784403239366	0.9333046788306782
-17.0	0.00028048447952536224	0.0006450206123821696	0.0015448819056530039	-0.0009839129466022794	0.6636854382891284	0.948386649451664
-16.0	0.00018886628468443682	0.0006546440057821364	0.0014721279046253492	-0.0010943953352564755	0.7729693327498017	0.9569361199527637
-15.0	-0.00018854172290846873	0.0006371001478848661	0.0010603296646215221	-0.0014374131104384596	0.767285172404302	0.9569361199527637
-14.0	-0.0006427772177313969	0.0006115663144967115	0.0005560416403206272	-0.001841596075783421	0.29327271802767224	0.7838878296814765
-13.0	-0.00021220965978277322	0.0006246365552814991	0.0010122300520682029	-0.0014366493716337493	0.7340660009563424	0.9569361199527637
-12.0	0.0004960712256165314	0.0006825815354483357	0.0018340972049038047	-0.0008419547536707419	0.46739458158308744	0.8503202628800747
-11.0	0.00022939026753994538	0.0007058894484225103	0.001613105430408677	-0.0011543248953287861	0.7452146001474145	0.9569361199527637
-10.0	-0.0004223975776419921	0.0007063485694476791	0.0009622175742059452	-0.0018070127294899294	0.5498548136457976	0.9285103328925448
-9.0	-0.0007605034112526761	0.0007008919031761321	0.0006134153463149281	-0.00213442216882028	0.2779299080215341	0.7838878296814765
-8.0	-0.000643274396269722	0.0006747833606281416	0.0006794652619576209	-0.001966014054497065	0.34046266529387925	0.7838878296814765
-7.0	9.084751127013801e-05	0.0006706195393582	0.0014054250661545721	-0.0012237300436142961	0.8922450471379275	0.9857534319662591
-6.0	0.0005379471634245703	0.0006819796897657078	0.0018747933786586758	-0.0007988990518095352	0.4302495771706042	0.8329190532405286
-5.0	0.0007589652611103802	0.0006861200409341604	0.0021039275725748406	-0.0005859970503540803	0.26868437895876573	0.7838878296814765
-4.0	0.0005051713098946555	0.0006801304601334088	0.0018383925848671429	-0.0008280499650778319	0.4576496753129917	0.8503202628800747
-3.0	3.944496425725523e-05	0.0006841577182584554	0.0013805606455632934	-0.001301670717048783	0.9540249691125005	0.9893584553904312
-2.0	0.00018651465250369044	0.000682112064215952	0.0015236203538859297	-0.0011505910488785488	0.7845239924461049	0.9569361199527637
-1.0	0.00026952687975850646	0.0006765453578855349	0.0015957204815565272	-0.0010566667220395143	0.6903549524534016	0.9489830476644823
0.0	0.00040671889279074534	0.0006934513923653696	0.001766052437827763	-0.0009526146522462722	0.5575458050811151	0.9285103328925448
